#,"Date Time, GMT-07:00","Wind Direction, ø (LGR S/N: 10538076, SEN S/N: 10515877)","Voltage, V (LGR S/N: 10538076, SEN S/N: 10519786)","Current, mA (LGR S/N: 10538076, SEN S/N: 10519786)","Temp, °F (LGR S/N: 10538076, SEN S/N: 10540370)","RH, % (LGR S/N: 10538076, SEN S/N: 10540370)"
1,6/3/2021 9:16,12.6,2.8695,0,61.162,58.5
2,6/3/2021 9:26,256.9,2.6911,0,61.248,58.4
3,6/3/2021 9:36,255.5,2.7676,0,62.105,58.8
4,6/3/2021 9:46,262.5,2.7421,0,63.048,57.1
5,6/3/2021 9:56,262.5,2.7982,0,64.074,53.7
6,6/3/2021 10:06,282.2,2.6555,0,65.017,49.8
7,6/3/2021 10:16,244.3,2.5841,0,66.214,47.2
8,6/3/2021 10:26,271,2.6555,0,65.872,46.5
9,6/3/2021 10:36,192.3,2.6707,0,67.242,47.1
10,6/3/2021 10:46,199.4,2.7166,0,67.757,46.9
11,6/3/2021 10:56,94.1,2.6758,0,66.558,46.9
12,6/3/2021 11:06,227.4,2.7013,0,66.472,47.2
13,6/3/2021 11:16,174.1,2.7523,0,67.798,46.7
14,6/3/2021 11:26,200.8,2.7217,0,67.627,45.5
15,6/3/2021 11:36,16.8,2.7727,0,68.013,45
16,6/3/2021 11:46,132,2.7727,0,69.256,42.7
17,6/3/2021 11:56,136.2,2.7625,0,69.343,41.5
18,6/3/2021 12:06,109.5,2.7727,0,69.858,40.7
19,6/3/2021 12:16,130.6,2.8033,0,70.846,39.1
20,6/3/2021 12:26,220.4,2.7778,0,69.685,37.4
21,6/3/2021 12:36,108.1,2.7778,0,70.372,38.3
22,6/3/2021 12:46,241.5,2.7217,0,70.543,38.3
23,6/3/2021 12:56,320.1,2.737,0,69.427,39
24,6/3/2021 13:06,110.9,2.788,0,69.728,40.1
25,6/3/2021 13:16,248.5,2.7931,0,68.227,41.2
26,6/3/2021 13:26,200.8,2.788,0,67.757,42
27,6/3/2021 13:36,57.6,2.7931,0,67.114,41.6
28,6/3/2021 13:46,12.6,2.7829,0,68.571,42.8
29,6/3/2021 13:56,9.8,2.7778,0,70.502,41.5
30,6/3/2021 14:06,33.7,2.7829,0,72.351,38.9
31,6/3/2021 14:16,153,2.7676,0,73.213,36.8
32,6/3/2021 14:26,179.7,2.7829,0,72.264,36.4
33,6/3/2021 14:36,165.7,2.788,0,72.61,38.3
34,6/3/2021 14:46,178.3,2.7931,0,71.577,37.8
35,6/3/2021 14:56,178.3,2.7982,0,69.771,39.3
36,6/3/2021 15:06,148.8,2.788,0,67.671,41
37,6/3/2021 15:16,84.2,2.7676,0,66.985,43.4
38,6/3/2021 15:26,310.3,2.7829,0,67.757,44.6
39,6/3/2021 15:36,273.8,2.7778,0,70.63,42.4
40,6/3/2021 15:46,112.3,2.788,0,69.386,41.9
41,6/3/2021 15:56,320.1,2.7829,0,68.828,42.1
42,6/3/2021 16:06,318.7,2.7778,0,68.527,42.2
43,6/3/2021 16:16,299,2.7778,0,66.943,43.1
44,6/3/2021 16:26,355.2,2.7829,0,65.487,45.8
45,6/3/2021 16:36,36.5,2.7778,0,64.288,46.7
46,6/3/2021 16:46,39.3,2.7778,0,64.204,48.2
47,6/3/2021 16:56,39.3,2.7727,0,63.99,47.4
48,6/3/2021 17:06,39.3,2.7625,0,63.732,48.7
49,6/3/2021 17:16,39.3,2.7676,0,63.475,49.4
50,6/3/2021 17:26,39.3,2.7523,0,63.347,49.5
51,6/3/2021 17:36,39.3,2.7574,0,62.834,49.8
52,6/3/2021 17:46,39.3,2.7574,0,62.362,50.4
53,6/3/2021 17:56,39.3,2.7829,0,62.191,50.8
54,6/3/2021 18:06,39.3,2.7727,0,61.934,49.6
55,6/3/2021 18:16,39.3,2.7727,0,61.462,51.8
56,6/3/2021 18:26,39.3,2.8491,0,60.991,52.5
57,6/3/2021 18:36,39.3,2.8491,0,60.818,53.5
58,6/3/2021 18:46,39.3,2.7523,0,60.132,55
59,6/3/2021 18:56,39.3,2.7472,0,59.916,55.6
60,6/3/2021 19:06,39.3,2.6096,0,60.003,55.7
61,6/3/2021 19:16,39.3,2.737,0,60.346,55.6
62,6/3/2021 19:26,39.3,2.7166,0,60.132,55.9
63,6/3/2021 19:36,39.3,2.7319,0,59.702,55.6
64,6/3/2021 19:46,40.7,2.7319,0,59.229,55.4
65,6/3/2021 19:56,143.2,2.7829,0,58.755,55.6
66,6/3/2021 20:06,143.2,2.7472,0,57.85,58.7
67,6/3/2021 20:16,143.2,2.7829,0,57.592,58.9
68,6/3/2021 20:26,143.2,2.7625,0,57.333,58.2
69,6/3/2021 20:36,43.5,2.7625,0,56.512,59.4
70,6/3/2021 20:46,25.3,2.7676,0,55.949,60.2
71,6/3/2021 20:56,25.3,2.7574,0,55.863,60.3
72,6/3/2021 21:06,88.4,2.7931,0,55.602,59.7
73,6/3/2021 21:16,92.7,2.7829,0,54.82,60.8
74,6/3/2021 21:26,92.7,2.6198,0,53.776,62.7
75,6/3/2021 21:36,92.7,2.6911,0,54.082,63
76,6/3/2021 21:46,92.7,2.6809,0,54.387,61
77,6/3/2021 21:56,92.7,2.6707,0,53.515,61.8
78,6/3/2021 22:06,92.7,2.6402,0,52.992,63.1
79,6/3/2021 22:16,92.7,2.6707,0,51.721,65.1
80,6/3/2021 22:26,91.3,2.7523,0,50.488,68
81,6/3/2021 22:36,91.3,2.6656,0,49.782,69.6
82,6/3/2021 22:46,91.3,2.7217,0,49.428,70.3
83,6/3/2021 22:56,91.3,2.6656,0,48.717,71.3
84,6/3/2021 23:06,91.3,2.6911,0,48.137,72.5
85,6/3/2021 23:16,91.3,2.63,0,47.467,73.8
86,6/3/2021 23:26,91.3,2.6045,0,47.691,74
87,6/3/2021 23:36,91.3,2.8389,0,47.691,72.9
88,6/3/2021 23:46,91.3,2.844,0,47.334,72.4
89,6/3/2021 23:56,91.3,2.8338,0,47.154,72.1
90,6/4/2021 0:06,91.3,2.8338,0,46.886,72
91,6/4/2021 0:16,91.3,2.8746,0,46.481,72.7
92,6/4/2021 0:26,91.3,2.7064,0,46.211,73.6
93,6/4/2021 0:36,91.3,2.5586,0,47.647,72
94,6/4/2021 0:46,91.3,2.7268,0,48.538,70.2
95,6/4/2021 0:56,91.3,2.7115,0,49.87,68.8
96,6/4/2021 1:06,91.3,2.7421,0,49.116,67.8
97,6/4/2021 1:16,73,2.8135,0,48.717,68.2
98,6/4/2021 1:26,68.8,2.7319,0,48.762,68.9
99,6/4/2021 1:36,68.8,2.8033,0,48.137,69.9
100,6/4/2021 1:46,56.2,2.788,0,48.227,71.3
101,6/4/2021 1:56,0,2.6402,0,48.227,71.4
102,6/4/2021 2:06,0,2.5892,0,48.137,71.7
103,6/4/2021 2:16,0,2.6962,0,48.272,72.9
104,6/4/2021 2:26,8.4,2.686,0,48.315,73.4
105,6/4/2021 2:36,18.3,2.7676,0,48.227,73
106,6/4/2021 2:46,26.7,2.7778,0,48.182,71.2
107,6/4/2021 2:56,46.3,2.7727,0,48.094,70.7
108,6/4/2021 3:06,92.7,2.8542,0,48.049,70.2
109,6/4/2021 3:16,81.4,2.8746,0,48.094,67.5
110,6/4/2021 3:26,106.7,2.6606,0,47.422,65.9
