#,"Date Time, GMT-07:00","Voltage, V (LGR S/N: 10524949, SEN S/N: 10509795)","Current, mA (LGR S/N: 10524949, SEN S/N: 10509795)","Wind Direction, ø (LGR S/N: 10524949, SEN S/N: 10515876)","Wind Speed, mph (LGR S/N: 10524949, SEN S/N: 10521987)","Gust Speed, mph (LGR S/N: 10524949, SEN S/N: 10521987)","Solar Radiation, W/m² (LGR S/N: 10524949, SEN S/N: 10532323)","Temp, °F (LGR S/N: 10524949, SEN S/N: 10540329)","RH, % (LGR S/N: 10524949, SEN S/N: 10540329)"
1,10/15/2020 9:30,-0.1988,0,195.1,0,0,54.4,32.193,88.8
2,10/15/2020 9:40,-0.2039,0,193.7,0,0,79.4,32.742,87.5
3,10/15/2020 9:50,-0.2039,0,202.2,0,0,35.6,33.138,86.9
4,10/15/2020 10:00,-0.2039,0,186.7,0,0,228.1,33.188,85.8
5,10/15/2020 10:10,-0.2039,0,162.9,0,0,226.9,32.691,85.7
6,10/15/2020 10:20,-0.2039,0,162.9,0,0,63.1,34.858,86.3
7,10/15/2020 10:30,-0.2039,0,158.6,0,0,56.9,32.79,85.4
8,10/15/2020 10:40,-0.2039,0,162.9,0,0,213.1,34.124,86.6
9,10/15/2020 10:50,-0.2039,0,164.3,0,0,73.1,33.237,85.9
10,10/15/2020 11:00,-0.2039,0,164.3,0,0,101.9,33.386,86.1
11,10/15/2020 11:10,-0.2039,0,164.3,0,0,56.9,35.298,85.7
12,10/15/2020 11:20,-0.2039,0,164.3,0,0,233.1,34.761,84
13,10/15/2020 11:30,-0.2039,0,164.3,0,0,131.9,35.249,82.6
14,10/15/2020 11:40,-0.2039,0,162.9,0,0,110.6,36.072,81.6
15,10/15/2020 11:50,-0.2039,0,167.1,0,0,100.6,34.907,81.1
16,10/15/2020 12:00,-0.2039,0,175.5,0,0,94.4,34.174,81.7
17,10/15/2020 12:10,-0.2039,0,175.5,0,0,46.9,33.831,82
18,10/15/2020 12:20,-0.2039,0,175.5,0,0,83.1,34.174,82.3
19,10/15/2020 12:30,-0.2039,0,175.5,0,0,79.4,34.075,81.9
20,10/15/2020 12:40,-0.2039,0,175.5,0,0,103.1,34.957,82.6
21,10/15/2020 12:50,-0.2039,0,175.5,0,0,79.4,35.103,81.5
22,10/15/2020 13:00,-0.2039,0,175.5,0,0,80.6,34.81,81.2
23,10/15/2020 13:10,-0.2039,0,175.5,0,0,103.1,36.795,81
24,10/15/2020 13:20,-0.2039,0,176.9,0,0,335.6,38.226,79.2
25,10/15/2020 13:30,-0.2039,0,178.3,0,0,181.9,38.131,77
26,10/15/2020 13:40,-0.2039,0,178.3,0,0,169.4,37.225,74.7
27,10/15/2020 13:50,-0.2039,0,200.8,0,0,98.1,37.13,74.9
28,10/15/2020 14:00,-0.2039,0,241.5,0,0,86.9,36.12,76.2
29,10/15/2020 14:10,-0.2039,0,338.3,0,0,129.4,36.12,77.5
30,10/15/2020 14:20,-0.2039,0,338.3,0,0,114.4,37.13,77
31,10/15/2020 14:30,-0.2039,0,283.6,0,0,100.6,36.842,76.6
32,10/15/2020 14:40,-0.2039,0,254.1,0,0,93.1,36.795,75.9
33,10/15/2020 14:50,-0.2039,0,248.5,0,0,143.1,38.7,75.7
34,10/15/2020 15:00,-0.2039,0,247.1,0,0,104.4,38.037,73.3
35,10/15/2020 15:10,-0.2039,0,188.1,0,0.56,114.4,36.41,73.5
36,10/15/2020 15:20,-0.2039,0,186.7,0,0,116.9,36.795,74.2
37,10/15/2020 15:30,-0.2039,0,195.1,0,1.12,136.9,37.274,73.1
38,10/15/2020 15:40,-0.2039,0,199.4,0,0,111.9,36.795,73.4
