#,"Date Time, GMT-07:00","Voltage, V (LGR S/N: 10538075, SEN S/N: 10519785)","Current, mA (LGR S/N: 10538075, SEN S/N: 10519785)","Rain, in (LGR S/N: 10538075, SEN S/N: 10520352)","Wind Speed, mph (LGR S/N: 10538075, SEN S/N: 10539684)","Gust Speed, mph (LGR S/N: 10538075, SEN S/N: 10539684)","Wind Direction, ø (LGR S/N: 10538075, SEN S/N: 10539775)","Temp, °F (LGR S/N: 10538075, SEN S/N: 10540372)","RH, % (LGR S/N: 10538075, SEN S/N: 10540372)","Solar Radiation, W/m² (LGR S/N: 10538075, SEN S/N: 10545690)"
1,6/3/2021 9:21,-0.2039,0,,0,0,223.2,61.162,55.9,584.4
2,6/3/2021 9:31,-0.2039,0,0,0,0,228.8,62.105,56,179.4
3,6/3/2021 9:41,-0.2039,0,0,0,0,226,63.304,55.2,514.4
4,6/3/2021 9:51,-0.1988,0,0,0,0,297.6,63.946,52.5,799.4
5,6/3/2021 10:01,-0.1988,0,0,0,0,240.1,64.931,48.7,799.4
6,6/3/2021 10:11,-0.1988,0,0,0,0,286.4,66.13,45.3,853.1
7,6/3/2021 10:21,-0.1988,0,0,0,0,263.9,65.959,43.4,878.1
8,6/3/2021 10:31,-0.1988,0,0,0,0,245.7,66.729,44.2,918.1
9,6/3/2021 10:41,-0.1988,0,0,0,0,252.7,66.9,44.7,901.9
10,6/3/2021 10:51,-0.1988,0,0,0,0,285,67.028,45.1,730.6
11,6/3/2021 11:01,-0.1988,0,0,0,0,268.1,67.071,45,551.9
12,6/3/2021 11:11,-0.1988,0,0,0,0,241.5,68.913,44.8,243.1
13,6/3/2021 11:21,-0.1988,0,0,0,0,273.8,66.943,43.7,313.1
14,6/3/2021 11:31,-0.1988,0,0,0,0,276.6,67.372,44.2,273.1
15,6/3/2021 11:41,-0.1988,0,0,0,0,286.4,67.158,41.9,891.9
16,6/3/2021 11:51,-0.1988,0,0,0,0,227.4,68.27,41,854.4
17,6/3/2021 12:01,-0.1988,0,0,0,0,324.3,69.6,39.9,984.4
18,6/3/2021 12:11,-0.1988,0,0,0,0,279.4,70.587,38,1021.9
19,6/3/2021 12:21,-0.1988,0,0,0,0,217.6,70.072,36.5,1066.9
20,6/3/2021 12:31,-0.1988,0,0,0,0,219,68.871,35.8,1130.6
21,6/3/2021 12:41,-0.1988,0,0,0,0,238.7,70.029,36.6,883.1
22,6/3/2021 12:51,-0.1988,0,0,0,0,223.2,70.072,37.3,905.6
23,6/3/2021 13:01,-0.1988,0,0,0,0,279.4,71.06,38.2,596.9
24,6/3/2021 13:11,-0.1988,0,0,0,0,276.6,68.4,37.8,360.6
25,6/3/2021 13:21,-0.1988,0,0,0,0,244.3,66.385,39.2,494.4
26,6/3/2021 13:31,-0.1988,0,0,0,0,255.5,67.586,40.3,413.1
27,6/3/2021 13:41,-0.1988,0,0,0,0,334.1,67.885,40,690.6
28,6/3/2021 13:51,-0.1988,0,0,0,0,320.1,70.459,38.8,603.1
29,6/3/2021 14:01,-0.1988,0,0,0,0,224.6,72.997,37.2,945.6
30,6/3/2021 14:11,-0.1988,0,0,0,0,247.1,75.16,35,1061.9
31,6/3/2021 14:21,-0.1988,0,0,0,0,231.6,70.759,33.7,636.9
32,6/3/2021 14:31,-0.1988,0,0,0,0,254.1,71.661,35.7,438.1
33,6/3/2021 14:41,-0.1988,0,0,0,0,231.6,72.264,35.6,415.6
34,6/3/2021 14:51,-0.1988,0,0,0,0,240.1,70.072,36.3,461.9
35,6/3/2021 15:01,-0.1988,0,0,0,0,259.7,68.356,38.5,406.9
36,6/3/2021 15:11,-0.1988,0,0,0,0,258.3,67.158,40.5,361.9
37,6/3/2021 15:21,-0.1988,0,0,0,0,242.9,66.6,42.1,463.1
38,6/3/2021 15:31,-0.1988,0,0,0,0,308.9,69.985,41.1,773.1
39,6/3/2021 15:41,-0.1988,0,0,0,0,263.9,69.985,40.1,616.9
40,6/3/2021 15:51,-0.1988,0,0,0,0,262.5,70.63,39.8,716.9
41,6/3/2021 16:01,-0.1988,0,0,0,0,176.9,71.146,39.2,889.4
42,6/3/2021 16:11,-0.1988,0,0,0,0,240.1,68.785,39.3,249.4
43,6/3/2021 16:21,-0.1988,0,0,0,0,279.4,65.615,42.3,355.6
44,6/3/2021 16:31,-0.1988,0,0,0,0,244.3,65.316,44.6,213.1
45,6/3/2021 16:41,-0.1988,0,0,0,0,273.8,64.845,45.5,234.4
46,6/3/2021 16:51,-0.1988,0,0,0,0,282.2,64.375,45.6,284.4
47,6/3/2021 17:01,-0.1988,0,0,0,0,338.3,64.117,45.5,198.1
48,6/3/2021 17:11,-0.1988,0,0,0,0,238.7,63.946,45.9,175.6
49,6/3/2021 17:21,-0.1988,0,0,0,0,265.3,63.689,46.2,166.9
50,6/3/2021 17:31,-0.1988,0,0,0,0,290.6,63.176,46.4,123.1
51,6/3/2021 17:41,-0.1988,0,0,0,0,271,62.791,47.1,106.9
52,6/3/2021 17:51,-0.1988,0,0,0,0,271,62.661,47.7,121.9
53,6/3/2021 18:01,-0.1988,0,0,0,0,227.4,62.362,46.4,88.1
54,6/3/2021 18:11,-0.1988,0,0,0,0,217.6,61.977,48.1,74.4
55,6/3/2021 18:21,-0.1988,0,0,0,0,303.2,61.72,48.2,63.1
56,6/3/2021 18:31,-0.1988,0,0,0,0,320.1,61.205,49.1,64.4
57,6/3/2021 18:41,-0.1988,0,0,0,0,300.4,60.604,50.7,59.4
58,6/3/2021 18:51,-0.1988,0,0,0,0,285,60.39,52.7,66.9
59,6/3/2021 19:01,-0.1988,0,0,0,0,293.4,60.174,53.3,104.4
60,6/3/2021 19:11,-0.1988,0,0,0,0,307.5,60.991,52.3,161.9
61,6/3/2021 19:21,-0.1988,0,0,0,0,240.1,60.991,51.6,86.9
62,6/3/2021 19:31,-0.1988,0,0,0,0,224.6,60.346,51.7,86.9
63,6/3/2021 19:41,-0.1988,0,0,0,0,221.8,60.003,51.5,69.4
64,6/3/2021 19:51,-0.1988,0,0,0,0,172.7,59.229,52.5,61.9
65,6/3/2021 20:01,-0.1988,0,0,0,0,311.7,58.626,53.3,36.9
66,6/3/2021 20:11,-0.1988,0,0,0,0,268.1,58.411,54.5,34.4
67,6/3/2021 20:21,-0.1988,0,0,0,0,341.2,57.807,54.4,20.6
68,6/3/2021 20:31,-0.1988,0,0,0,0,4.2,57.204,54.8,11.9
69,6/3/2021 20:41,-0.1988,0,0,0,0,266.7,56.512,55.5,10.6
70,6/3/2021 20:51,-0.1988,0,0,0,0,317.3,56.383,56.1,9.4
71,6/3/2021 21:01,-0.1988,0,0,0,0,278,55.906,56.3,1.9
72,6/3/2021 21:11,-0.1988,0,0,0,0,301.8,55.472,57,0.6
73,6/3/2021 21:21,-0.1988,0,0,0,0,304.7,54.212,57.9,0.6
74,6/3/2021 21:31,-0.1988,0,0,0,0,297.6,54.082,60.3,0.6
75,6/3/2021 21:41,-0.1988,0,0,0,0,299,54.865,58.6,0.6
76,6/3/2021 21:51,-0.1988,0,0,0,0,332.7,54.212,58.2,0.6
77,6/3/2021 22:01,-0.1988,0,0,0,0,299,53.384,59.1,0.6
78,6/3/2021 22:11,-0.1988,0,0,0,0,289.2,52.072,60.7,0.6
79,6/3/2021 22:21,-0.1988,0,0,0,0,289.2,50.797,63.6,0.6
80,6/3/2021 22:31,-0.1988,0,0,0,0,289.2,50.268,65.3,0.6
81,6/3/2021 22:41,-0.1988,0,0,0,0,289.2,49.204,66.7,0.6
82,6/3/2021 22:51,-0.1988,0,0,0,0,289.2,48.672,68.1,0.6
83,6/3/2021 23:01,-0.1988,0,0,0,0,289.2,48.272,69.6,0.6
