Sample ID,δ2HVSMOW (‰),δ18OVSMOW (‰),Comments,2H Analysis #,18O Analysis #,Sample Substrate,Date,Block,Treatment,TreeNumb,Count,Replicates
Red_Unknown,-81,0.13,,PD-86813,PD-86722,,,,,,1,Y
Red_Unknown,-80.4,0.16,replicate,PD-86814,PD-86723,,,,,,2,Y
M8_911,-130.2,-15.98,,PD-86552,PD-86171,tree,2021-09-11,M,,8,,
M8_721,-132.9,-17.2,,PD-85978,PD-85594,tree,2021-07-21,M,,8,,
M8_107,-111.8,-14.53,,PD-86560,PD-86179,tree,2021-10-07,M,,8,,
M4_911,-112.8,-15.94,,PD-86553,PD-86172,tree,2021-09-11,M,,4,,
M4_612,-132.7,-16.02,,PD-86051,PD-85668,tree,2021-06-12,M,,4,,
M4_107,-114.3,-14.17,,PD-86554,PD-86173,tree,2021-10-07,M,,4,,
M1_911,-125.9,-14.82,,PD-86626,PD-86223,tree,2021-09-11,M,,1,,
M1_2_721,-122.6,-15.49,,PD-85993,PD-85609,tree,2021-07-21,M,,1,2,Y
M1_2_612,-132.7,-16.22,,PD-86572,PD-86191,tree,2021-06-12,M,,1,2,Y
M1_107,-108.3,-12.56,,PD-86568,PD-86187,tree,2021-10-07,M,,1,,
M1_1_721,-124.9,-14.9,,PD-85992,PD-85608,tree,2021-07-21,M,,1,1,Y
M1_1_612,-135.5,-16.32,,PD-85981,PD-85597,tree,2021-06-12,M,,1,1,Y
B3T2_25_911,-141.8,-18.35,,PD-86326,PD-85847,tree,2021-09-11,3,2,25,,
B3T2_25_721,-133,-16.24,,PD-86325,PD-85846,tree,2021-07-21,3,2,25,,
B3T2_25_611,-130.6,-15.61,,PD-86065,PD-85682,tree,2021-06-11,3,2,25,,
B3T2_25_107,-100,-11.95,,PD-86069,PD-85686,tree,2021-10-07,3,2,25,,
B3T2_24_721,-129.6,-15.99,,PD-86353,PD-85874,tree,2021-07-21,3,2,24,,
B3T2_24_611,-126.5,-15.42,,PD-86004,PD-85620,tree,2021-06-11,3,2,24,,
B3T2_24_2_911,-145.8,-19.37,,PD-86347,PD-85868,tree,2021-09-11,3,2,24,2,Y
B3T2_24_107,-110.9,-14.23,,PD-86049,PD-85666,tree,2021-10-07,3,2,24,,
B3T2_24_1_911,-146.3,-19.48,,PD-86346,PD-85867,tree,2021-09-11,3,2,24,1,Y
