Tree No.,10/9/2019,7/18/2020,change1,10/15/2020,change2,6/4/2021,change3,10/8/2021,change4,,
1,45.49,46.86,1.37,47.06,0.20,47.84,0.78,48.81,0.97,,
2,37.96,38.57,0.61,39.01,0.44,39.9,0.89,40.22,0.32,,
3,26.24,27.69,1.45,26.77,-0.92,26.74,-0.03,26.91,0.17,,
4,42.33,44.11,1.78,44.43,0.32,45.22,0.79,46.01,0.79,,
5,52.82,54.40,1.58,54.72,0.32,56.04,1.32,56.55,0.51,,
6,34.41,35.52,1.11,35.58,0.06,36.15,0.57,36.4,0.25,,
7,57.03,58.89,1.86,58.82,-0.07,60.86,2.04,61.74,0.88,,
8,43.00,41.40,-1.60,39.37,-2.03,38.63,-0.74,38.79,0.16,,
9,27.52,28.37,0.85,28.34,-0.03,28.78,0.44,28.79,0.01,,
10,56.52,57.91,1.39,58.13,0.22,58.37,0.24,59.29,0.92,,
11,37.58,38.44,0.86,38.77,0.33,39.03,0.26,39.42,0.39,,
12,43.81,45.00,1.19,45.72,0.72,46.41,0.69,46.93,0.52,,
13,41.01,42.97,1.96,43.23,0.26,43.74,0.51,44.8,1.06,,
14,29.00,32.33,3.33,30.02,-2.31,30.25,0.23,30.76,0.51,,
15,38.98,40.62,1.64,40.82,0.20,41.56,0.74,41.99,0.43,,
16,37.07,Not found,,38.09,,38.91,0.82,39.48,0.57,,
17,45.99,47.15,1.16,47.22,0.07,47.69,0.47,48.59,0.9,,
18,48.45,50.99,2.54,51.31,0.32,52.11,0.80,53.03,0.92,,
19,68.80,70.88,2.08,72.19,1.31,73.12,0.93,73.73,0.61,,
20,49.17,51.02,1.85,51.61,0.59,52.36,0.75,53.3,0.94,,
21,64.87,67.58,2.71,67.56,-0.02,68.82,1.26,70.4,1.58,,
22,75.69,74.12,-1.57,77.86,3.74,77.52,-0.34,79.32,1.8,,
23,58.25,59.45,1.20,60.80,1.35,60.96,0.16,62.59,1.63,,
24,52.55,54.08,1.53,55.78,1.70,56.91,1.13,57.12,0.21,,
25,24.99,25.78,0.79,25.43,-0.35,25.8,0.37,25.9,0.1,,
26,50.38,52.13,1.75,52.53,0.40,53.2,0.67,54.4,1.2,,
27,27.04,28.21,1.17,27.46,-0.75,27.9,0.44,27.99,0.09,,
28,39.65,40.69,1.04,41.42,0.73,41.63,0.21,42.65,1.02,,
29,58.93,60.61,1.68,61.43,0.82,62.21,0.78,63.35,1.14,,
30,69.69,71.84,2.15,72.80,0.96,73.05,0.25,74.23,1.18,,
31,39.27,40.50,1.23,40.85,0.35,42.14,1.29,42.59,0.45,,
32,67.90,69.89,1.99,70.10,0.21,71.28,1.18,72.81,1.53,,
33,48.79,50.45,1.66,50.19,-0.26,51.09,0.90,52.34,1.25,,
34,45.59,47.46,1.87,47.53,0.07,48,0.47,48.93,0.93,,
35,45.41,47.42,2.01,47.52,0.10,48.59,1.07,49.15,0.56,,
36,50.38,52.69,2.31,not found ,,53.98,,54.81,0.83,,
37,42.36,43.93,1.57,44.02,0.09,44.65,0.63,45.39,0.74,,
38,51.26,53.12,1.86,54.01,0.89,55.87,1.86,56.2,0.33,,
39,50.26,52.04,1.78,52.09,0.05,53.12,1.03,53.75,0.63,,
40,43.90,44.92,1.02,44.75,-0.17,45.16,0.41,46.08,0.92,,
41,38.62,40.50,1.88,40.72,0.22,41.81,1.09,42.53,0.72,,
42,71.68,73.08,1.40,73.46,0.38,74.34,0.88,74.58,0.24,,
43,50.96,53.30,2.34,53.67,0.37,55.14,1.47,55.27,0.13,,
44,42.12,44.14,2.02,43.81,-0.33,44.82,1.01,45.69,0.87,,
45,74.12,76.06,1.94,76.94,0.88,77.33,0.39,79.29,1.96,,
AVG,47.73,49.48,1.51,49.41,0.27,50.20,0.71,50.95,0.75,,
