Tree No.,10/9/2019,7/18/2020,change1,10/15/2020,change2,6/4/2021,change3,10/8/2021,change4,,
1,42.98,45.57,2.59,45.33,-0.24,46.17,0.84,46.57,0.4,,
2,77.39,81.27,3.88,82.03,0.76,84.09,2.06,86.9,2.81,,
3,44.50,47.90,3.40,48.11,0.21,49.74,1.63,50.81,1.07,,
4,40.32,43.07,2.75,43.20,0.13,44.44,1.24,45.7,1.26,,
5,43.71,44.40,0.69,44.25,-0.15,45.99,1.74,47.58,1.59,,
6,73.27,77.29,4.02,78.20,0.91,79.47,1.27,81.47,2,,
7,69.65,73.27,3.62,73.04,-0.23,74.95,1.91,76.28,1.33,,
8,101.61,104.35,2.74,105.45,1.10,109.05,3.60,111.19,2.14,,
9,49.29,53.06,3.77,53.37,0.31,54.85,1.48,56.09,1.24,,
10,59.86,63.38,3.52,63.55,0.17,64.98,1.43,66.75,1.77,,
11,67.36,70.13,2.77,70.01,-0.12,71.79,1.78,72.75,0.96,,
12,73.09,77.48,4.39,78.10,0.62,80.12,2.02,81.57,1.45,,
13,70.44,74.31,3.87,74.94,0.63,76.27,1.33,78.09,1.82,,
14,78.49,82.37,3.88,82.30,-0.07,85.2,2.90,85.21,0.01,,
15,68.43,72.28,3.85,72.79,0.51,74.12,1.33,76.13,2.01,,
16,76.61,79.74,3.13,80.08,0.34,83.76,3.68,85.05,1.29,,
17,65.62,68.49,2.87,68.72,0.23,70.03,1.31,71.59,1.56,,
18,65.61,69.85,4.24,71.10,1.25,72.58,1.48,74.21,1.63,,
19,106.74,108.51,1.77,108.42,-0.09,111.75,3.33,112.77,1.02,,
20,75.62,79.22,3.60,79.84,0.62,82.01,2.17,83.58,1.57,,
21,76.26,82.71,6.45,84.67,1.96,86.75,2.08,90.705,3.955,,
22,48.41,53.70,5.29,53.62,-0.08,56.31,2.69,58.28,1.97,,
23,62.81,66.57,3.76,67.11,0.54,68.17,1.06,70.76,2.59,,
24,71.44,74.45,3.01,74.91,0.46,75.74,0.83,77.23,1.49,,
25,71.47,75.04,3.57,75.29,0.25,77.1,1.81,79.06,1.96,,
26,62.12,63.99,1.87,64.04,0.05,66.41,2.37,66.82,0.41,,
27,86.12,90.05,3.93,91.08,1.03,92.38,1.30,93.07,0.69,,
28,74.72,77.49,2.77,78.45,0.96,79.92,1.47,80.77,0.85,,
29,52.64,55.95,3.31,56.71,0.76,58.78,2.07,60.88,2.1,,
30,74.15,75.91,1.76,76.66,0.75,78.59,1.93,80.53,1.94,,
31,94.29,97.95,3.66,100.08,2.13,101.94,1.86,104.54,2.6,,
32,63.80,66.50,2.70,66.93,0.43,67.82,0.89,68.93,1.11,,
33,80.50,84.83,4.33,85.01,0.18,86.88,1.87,88.19,1.31,,
34,61.43,64.36,2.93,65.00,0.64,66.64,1.64,69.17,2.53,,
35,48.78,52.82,4.04,53.17,0.35,53.79,0.62,55.1,1.31,,
36,54.58,58.38,3.80,58.24,-0.14,60.84,2.60,63.58,2.74,,
37,62.64,65.81,3.17,67.47,1.66,68.02,0.55,71.12,3.1,,
38,75.20,80.27,5.07,81.46,1.19,83.23,1.77,86.07,2.84,,
39,46.47,49.62,3.15,49.98,0.36,50.98,1.00,52.47,1.49,,
40,58.55,60.35,1.80,60.93,0.58,62.66,1.73,63.94,1.28,,
41,51.15,53.47,2.32,53.66,0.19,54.71,1.05,57.01,2.3,,
42,57.04,59.14,2.10,61.31,2.17,62.98,1.67,64.76,1.78,,
43,Not found,Not found,,not found ,,,,,,,
44,64.38,66.14,1.76,67.53,1.39,68.41,0.88,69.85,1.44,,
45,80.30,83.87,3.57,85.12,1.25,86.8,1.68,89.93,3.13,,
AVG,66.59,69.89,3.31,70.48,0.59,72.21,1.73,73.93,1.72,,
