ID,Date Collected,Block,Treatment,Depth,Sample Weight,Dry Weight,Water loss,WC
B1T2_S5_721,7/21/2021,1,2,5,49.733,46.533,3.2,6%
B1T1_S35_721,7/21/2021,1,1,35,83.46,70.1,13.36,16%
B3T1_S35_612,6/12/2021,3,1,35,28.5,22.1,6.4,22%
B3T1_S35_612,6/12/2021,3,1,35,47.9,,,0%
B1T1_S5_721,7/21/2021,1,1,5,45.4,42.7,2.7,6%
B1C_S35_721,7/21/2021,1,C,35,45.7,43.6,2.1,5%
B1C_S5_721,7/21/2021,1,C,5,19.7,18.7,1,5%
B2T1_S5_911,9/11/2021,2,1,5,17.7,16.8,0.9,5%
B3T2_S5_911,9/11/2021,3,2,5,22.7,21.7,1,4%
B2T1_S35_911,9/11/2021,2,1,35,21.1,19.9,1.2,6%
B1T1_S35_910,9/10/2021,1,1,35,35.9,34.9,1,3%
B2C_S35_911,9/11/2021,2,C,35,28.5,26.8,1.7,6%
B2T2_S5_911,9/11/2021,2,2,5,17.4,16.3,1.1,6%
B3C_S35_721,7/21/2021,3,C,35,26.9,26.2,0.7,3%
B3C_S5_721,7/21/2021,3,C,5,16.6,15,1.6,10%
B3T1_S5_721,7/21/2021,3,1,5,20.4,16.9,3.5,17%
B3T2_S5_721,7/21/2021,3,2,5,14,11.6,2.4,17%
B3T2_S35_721,7/21/2021,3,2,35,24.57,22.1,2.47,10%
B3T1_S35_721,7/21/2021,3,1,35,21.1,18.8,2.3,11%
B2C_S5_911,9/11/2021,2,C,5,26.9,25.1,1.8,7%
B2T2_S35_911,9/11/2021,2,2,35,22.7,21.4,1.3,6%
B3T1_S35_612,6/12/2021,3,1,35,18.3,14.3,4,22%
B1T2_S35_721,7/21/2021,1,2,35,22.7,20.7,2,9%
B1T1_S5_910,9/10/2021,1,1,5,27.7,26.5,1.2,4%
B1T2_S35_910,9/10/2021,1,2,35,27.9,26.7,1.2,4%
B1C_S5_910,9/10/2021,1,C,5,35.2,33.6,1.6,5%
B1T2_S5_910,9/10/2021,1,2,5,20.9,19.1,1.8,9%
B1C_S35_910,9/10/2021,1,C,35,42.3,40.7,1.6,4%
B3T2_S5_911,9/11/2021,3,2,5,26.2,25.1,1.1,4%
B3T2_S5_612,6/12/2021,3,2,5,31.3,28.5,2.8,9%
B3T1_S5_612,6/12/2021,3,1,5,20,16.4,3.6,18%
